web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1549195645-426","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@vegan","Vegan","Vegan: because animals shouldn't be treated like garbage. http://www.mercyforanimals.org/hatchery/  #vegan","","28","10","1354745338000","3:38 AM - 6 Dec 2012","/vegan/status/276448101475180544"
"1549195645-310","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@OneGreenPlanet","One Green Planet","Nutritional Comparison: Soymilk vs. Cow’s Milk http://ow.ly/fXcow  #vegan #plantstrong","","6","2","1355266832000","4:30 AM - 12 Dec 2012","/OneGreenPlanet/status/278635408785543168"
"1549195645-181","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@D_M_Reynolds","Debbie Reynolds","@EarthActivists The shop I buy #vegan products from is now more aware of #PalmOil & is trying 2 source stock without it (old still 2 b sold)","1","3","1","1356007731000","6:18 PM - 20 Dec 2012","/D_M_Reynolds/status/281742961933418496"
"1549195645-677","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@TamelaDAmico","Tamela D'Amico","@kevinpollak #bestturkeyever  I was 4, walked in on mom cleaning turkey in sink. Thought she killed a baby. Didn't talk for 2 weeks. #vegan","1","8","11","1353614291000","1:28 AM - 23 Nov 2012","/TamelaDAmico/status/271704148490199042"
"1549195645-940","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@VegNews","VegNews Magazine","What to watch: #vegan cooking show starring @terryhope @MiyokosKitchen & Toni Fiore on @deliciousTV! http://ow.ly/f8xvB","","1","3","1352479516000","10:15 PM - 9 Nov 2012","/VegNews/status/266944557973925889"
"1549195645-371","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@KrissyLynnxxx","Krissy Lynn","I just got #DP'd & then stuffed myself with #vegan chocolate cake. OMG I have the best life everrrrrr!!! lol","6","1","6","1355022450000","8:37 AM - 9 Dec 2012","/KrissyLynnxxx/status/277610394556706816"
"1549195645-904","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@punchfork","Punchfork","All-time classic: Caramel-Cooked Tofu http://pfrk.co/PNNj8A  from @sippitysup #vegan #glutenfree","","1","3","1352662205000","1:00 AM - 12 Nov 2012","/punchfork/status/267710809071833088"
"1549195645-569","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@ethicalDeal","ethicalDeal.com","We're teaming up with @TheVeganSociety and celebrating #crueltyfree #Vegan choices this month with a #giveaway: http://bit.ly/UE8B5o","","6","","1354048509000","2:05 AM - 28 Nov 2012","/ethicalDeal/status/273525388003655680"
"1549195645-1209","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@AliciaSilv","Alicia Silverstone","5 ooey-gooey spooky Halloween party treats: http://bit.ly/tklspookytreats  #vegan","6","17","11","1351182974000","10:06 PM - 25 Oct 2012","/AliciaSilv/status/261506465972510720"
"1549195645-1122","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@TwoBootsHQ","Two Boots Pizza","#LA We're giving out FREE PIZZA to celebrate World Vegan Day! A new #Vegan pie by @quarrygirl 11/1 from 6-8PM http://ow.ly/i/14Law","1","9","","1351634780000","3:36 AM - 31 Oct 2012","/TwoBootsHQ/status/263401475437375488"
"1549195645-107","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@OneGreenPlanet","One Green Planet","Tips on Finding #Vegan Food While Traveling http://ow.ly/gkTGs","1","3","4","1356404421000","8:30 AM - 25 Dec 2012","/OneGreenPlanet/status/283406803260284928"
"1549195645-456","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@vegancook101","Vegan Cooking","1,001 Low-Fat Vegetarian Recipes: Delicious, Easy-to-Make, Healthy Meals for Everyone (Kindle Edition) ne... http://amzn.to/TJMoDe  #vegan","","1","4","1354598906000","10:58 AM - 4 Dec 2012","/vegancook101/status/275833923911700482"
"1549195645-1405","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@BlissfulandFit","Christy Morgan","Me too! RT @veggienextdoor: PBS has new #Vegan #Cooking Show starting this Fall! I am so psyched! via @VegNews http://vegnews.com/articles/page.do?pageId=4609&catId=8 … @PBS","","6","2","1350347388000","5:59 AM - 16 Oct 2012","/BlissfulandFit/status/258001765067264000"
"1549195645-927","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@GreatSkeptic","David Hume  🇺🇸","One person #vegan for one year means: 200 animal lives SPARED, 53,000 sq ft of rainforest PRESERVED, 1.3 million gallons of water SAVED.","1","10","5","1352563500000","9:35 PM - 10 Nov 2012","/GreatSkeptic/status/267296810295517184"
"1549195645-61","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@healthyblissnet","Jennifer Betesh (Thompson)","Spirulina is a great source of plant-based #vegan protein. Add 1 Tbsp. to your Green Smoothie! http://greensmoothiepower.com/","1","4","4","1356736131000","4:38 AM - 29 Dec 2012","/healthyblissnet/status/284798093038329856"
"1549195645-1133","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@peta2","peta2","UK metal band @Architectsuk are delivering a life-changing message: go #vegan! http://bit.ly/V1vEwm  #LiberateYourself http://yfrog.com/odfdiduwj","2","32","16","1351549322000","3:52 AM - 30 Oct 2012","/peta2/status/263043041546362880"
"1549195645-1050","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@VeganCloud","Ando-ken","Thanks to @vegan_at and @vgt_at for a lovely vegan bake sale in Vienna! #vegan #wvd","","2","2","1351963913000","11:01 PM - 3 Nov 2012","/VeganCloud/status/264781962424745984"
"1549195645-769","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@VeganLunchTruck","The Cinnamon Snail","PLEASE RT: @OurHenHouse & @tofurky are helping organize a #tofurkytrot supporting our #vegan #sandyrelief efforts!http://bit.ly/TKA2vA","1","12","2","1353273864000","2:54 AM - 19 Nov 2012","/VeganLunchTruck/status/270276293847826435"
"1549195645-464","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@Nasoya","Nasoya","Check out the giveaway over at @Godairyfree for @GoMaxGoFoods #Vegan Candy Bars: http://ow.ly/fMrf7  Yum!","1","2","1","1354555475000","10:54 PM - 3 Dec 2012","/Nasoya/status/275651758246727681"
"1549195645-1296","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@FionaGubelmann","Fiona Gubelmann","Pumpkin Cheesecake with Gingerbread Crust. Yummy McYumYums!!  http://instagr.am/p/RDqUuom9ae/  @SporkFoods Recipe #GlutenFree #vegan","3","2","4","1350850314000","1:41 AM - 22 Oct 2012","/FionaGubelmann/status/260111189839855616"
"1549195645-574","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@isitvegan","Is It Vegan?","I love burritos #nuffsaid. Go #vegan.","1","6","2","1354039700000","11:38 PM - 27 Nov 2012","/isitvegan/status/273488443131170817"
"1549195645-237","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@nutrition_facts","Michael Greger, M.D.","Why a #vegan diet may protect against multiple sclerosis. Today’s #NFVid: http://bit.ly/NF1212a  (Pls RT!)","","6","3","1355671151000","8:49 PM - 16 Dec 2012","/nutrition_facts/status/280331243776790529"
